site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;14,47;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,58;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,83;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,74;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,75;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;14,88;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;14,78;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,88;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,75;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;14,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,91;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,83;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,22;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,82;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,23;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,14;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,03;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,65;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,53;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,95;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,58;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;13,91;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;17,36;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,83;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,80;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,72;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;17,02;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,70;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;14,96;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,35;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,33;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;15,73;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;17,13;;;;;;;
Knysna;SAWS;Knysna/ SAWS;September;16,18;;;;;;;
